job_posting_id,small_pred_rank,pred_small_category,pred_small_score,rank,score,job_role_name,job_role_id,large_category,mid_category,small_category
331988,1,인공지능,0.7000674605369568,3,0.622005820274353,인공지능모델링,20010703,정보통신,정보기술,인공지능
332059,1,인공지능,0.66633141040802,1,0.6324656009674072,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
332059,1,인공지능,0.66633141040802,2,0.6235418915748596,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
332059,1,인공지능,0.66633141040802,3,0.5761478543281555,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
332163,1,인공지능,0.7039048671722412,1,0.6635213494300842,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
332163,1,인공지능,0.7039048671722412,2,0.6506369709968567,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
332163,1,인공지능,0.7039048671722412,3,0.6097466945648193,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
332679,1,인공지능,0.538065493106842,1,0.5454994440078735,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
332679,1,인공지능,0.538065493106842,2,0.4940166175365448,인공지능모델링,20010703,정보통신,정보기술,인공지능
332679,1,인공지능,0.538065493106842,3,0.49337202310562134,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
333308,1,인공지능,0.631943941116333,1,0.6162768006324768,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
333308,1,인공지능,0.631943941116333,2,0.5768177509307861,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
333308,1,인공지능,0.631943941116333,3,0.5761966705322266,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
334822,1,인공지능,0.7240655422210693,1,0.6975014209747314,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
334822,1,인공지능,0.7240655422210693,2,0.6736129522323608,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
334822,1,인공지능,0.7240655422210693,3,0.6628984212875366,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
335022,1,인공지능,0.7349996566772461,1,0.731393575668335,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
335022,1,인공지능,0.7349996566772461,2,0.6852781772613525,생성형AI엔지니어링,20010707,정보통신,정보기술,인공지능
335022,1,인공지능,0.7349996566772461,3,0.6834020614624023,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
335403,1,인공지능,0.5635342001914978,1,0.5487495064735413,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
335403,1,인공지능,0.5635342001914978,2,0.5029829740524292,인공지능플랫폼구축,20010701,정보통신,정보기술,인공지능
335403,1,인공지능,0.5635342001914978,3,0.47618451714515686,인공지능서비스운영관리,20010704,정보통신,정보기술,인공지능
335990,1,인공지능,0.6415325403213501,1,0.5904043912887573,인공지능학습데이터구축,20010706,정보통신,정보기술,인공지능
